"","location_name","total_population","total_commuters","less_than_5_min","5_to_9_min","10_to_14_min","15_to_19_min","20_to_24_min","25_to_29_min","30_to_34_min","35_to_39_min","40_to_44_min","45_to_59_min","60_to_89_min","90_or_more_min","urban_area","median_commuter_number","median_commute_bins","median_commute_bin_number","percent_more_than_hour","percent_more_than_90"
"156","Hagerstown, MD--WV--PA Urbanized Area (2010)",191322,81971,2023,7306,12345,14768,9554,6135,8594,2436,3344,5159,4877,5430,"36190",40986,"20_to_24_min",8,13,7
"428","Winchester, VA Urbanized Area (2010)",70819,31996,1197,3231,6403,6537,5476,573,1859,240,317,1997,2554,1612,"96103",15998,"15_to_19_min",7,13,5
"101","Deltona, FL Urbanized Area (2010)",201009,80761,1363,6829,7902,9195,9869,3043,16015,3703,2123,10902,7393,2424,"23311",40381,"30_to_34_min",10,12,3
"298","Philadelphia, PA--NJ--DE--MD Urbanized Area (2010)",5555493,2514002,48749,185807,278813,317155,355243,170448,374149,89851,133988,269975,211466,78358,"69076",1257002,"25_to_29_min",9,12,3
"310","Pottstown, PA Urbanized Area (2010)",109908,53022,1739,4062,5906,6174,6554,3172,6648,2489,2945,6967,5182,1184,"71749",26512,"25_to_29_min",9,12,2
"361","Seattle, WA Urbanized Area (2010)",3387102,1639616,25904,101472,172009,217020,227957,117994,253636,59571,86393,185958,138702,53000,"80389",819808,"25_to_29_min",9,12,3
"367","Simi Valley, CA Urbanized Area (2010)",127137,63511,1366,6325,9214,7183,7144,3834,8620,3008,4765,4693,5123,2236,"82144",31756,"25_to_29_min",9,12,4
"401","Urban Honolulu, HI Urbanized Area (2010)",837906,409514,7075,27875,47651,56705,57075,23714,73260,10210,19745,37989,35741,12474,"89770",204758,"25_to_29_min",9,12,3
"22","Arecibo, PR Urbanized Area (2010)",125675,33604,463,582,3209,5172,8781,2959,4512,841,1586,1336,2443,1720,"03034",16802,"20_to_24_min",8,12,5
"242","Mandeville--Covington, LA Urbanized Area (2010)",99919,43864,576,4649,7235,6944,5100,1546,4179,856,1776,5804,3568,1631,"53794",21932,"20_to_24_min",8,12,4
"259","Modesto, CA Urbanized Area (2010)",376356,139118,3334,15473,23285,21048,20143,5748,14782,3239,5001,10327,5470,11268,"58006",69560,"20_to_24_min",8,12,8
"271","Nashua, NH--MA Urbanized Area (2010)",229593,121221,4017,10699,15547,16955,15352,9865,15908,3404,4597,10031,10370,4476,"61165",60611,"20_to_24_min",8,12,4
"352","Santa Cruz, CA Urbanized Area (2010)",170825,77131,3124,12024,13354,10538,9856,2322,5937,1719,2318,6742,5878,3319,"79336",38566,"15_to_19_min",7,12,4
"372","South Lyon--Howell, MI Urbanized Area (2010)",123210,61351,2087,5314,6168,6956,6437,3257,6584,2914,4328,10587,5589,1130,"83332",30676,"30_to_34_min",10,11,2
"2","Aberdeen--Bel Air South--Bel Air North, MD Urbanized Area (2010)",215810,102831,2017,8721,11827,12533,12190,5806,13540,4119,5326,15476,7657,3619,"00199",51416,"25_to_29_min",9,11,4
"30","Avondale--Goodyear, AZ Urbanized Area (2010)",221256,93193,1465,4829,11858,10524,13103,5215,15095,2948,5197,12533,8304,2122,"04549",46597,"25_to_29_min",9,11,2
"32","Baltimore, MD Urbanized Area (2010)",2292343,1099447,11808,60012,111471,157166,164524,80976,171760,44603,53323,117560,88222,38022,"04843",549724,"25_to_29_min",9,11,3
"172","Houston, TX Urbanized Area (2010)",5607133,2531009,36615,155738,249976,331823,346659,160307,453694,103820,131191,293720,205909,61557,"40429",1265505,"25_to_29_min",9,11,2
"237","McKinney, TX Urbanized Area (2010)",230180,102897,1488,8745,11689,12502,14457,4352,15131,5093,5342,13001,9010,2087,"52687",51449,"25_to_29_min",9,11,2
"251","Miami, FL Urbanized Area (2010)",5992775,2677808,28087,137823,279797,344481,425671,178854,514045,89424,124790,269856,213425,71555,"56602",1338904,"25_to_29_min",9,11,3
"394","Trenton, NJ Urbanized Area (2010)",293892,131886,2723,10890,17341,24796,24673,6613,16436,3132,3458,7566,9039,5219,"88462",65944,"20_to_24_min",8,11,4
"431","Worcester, MA--CT Urbanized Area (2010)",516888,242307,5334,25848,28981,36388,34704,15415,32414,7139,9320,19261,18683,8820,"97291",121154,"20_to_24_min",8,11,4
"107","Dover, DE Urbanized Area (2010)",118712,49521,1854,4806,10732,7922,5398,2570,3944,1032,1432,4401,3340,2090,"24580",24761,"15_to_19_min",7,11,4
"250","Merced, CA Urbanized Area (2010)",143655,51163,1363,7698,11381,7946,6595,1202,4117,698,1540,2772,2188,3663,"56251",25582,"15_to_19_min",7,11,7
"274","New Bedford, MA Urbanized Area (2010)",150675,65257,1191,8007,11013,12685,9051,2260,5992,1891,1904,4071,4155,3037,"61786",32629,"15_to_19_min",7,11,5
"408","Vineland, NJ Urbanized Area (2010)",93078,37790,519,5871,6917,6840,4270,1653,2755,752,994,3231,3008,980,"90730",18896,"15_to_19_min",7,11,3
"436","Yuba City, CA Urbanized Area (2010)",121165,46577,1552,4926,8638,9939,4478,1418,3043,1113,2909,3570,2930,2061,"97939",23289,"15_to_19_min",7,11,4
"389","Texas City, TX Urbanized Area (2010)",119398,49252,562,3719,7324,7435,5524,3996,6466,1752,3078,4358,3391,1647,"87220",24626,"25_to_29_min",9,10,3
"10","Allentown, PA--NJ Urbanized Area (2010)",673983,308091,9549,31448,45612,48763,46135,23423,39685,6237,9308,17475,18135,12321,"01495",154046,"20_to_24_min",8,10,4
"226","Lodi, CA Urbanized Area (2010)",72464,29659,1279,5269,5823,2342,3552,1150,4719,243,354,2011,1895,1022,"50851",14830,"20_to_24_min",8,10,3
"434","York, PA Urbanized Area (2010)",245052,113473,2118,13373,15663,21997,16185,8683,10663,1993,3529,8336,7545,3388,"97750",56737,"20_to_24_min",8,10,3
"33","Barnstable Town, MA Urbanized Area (2010)",244138,108122,3269,14264,17568,21770,14698,6057,9441,2350,2223,5794,5763,4925,"05167",54062,"15_to_19_min",7,10,5
"149","Greeley, CO Urbanized Area (2010)",135108,59291,1306,9080,9529,13206,7067,2047,4437,1972,1152,3387,4418,1690,"34786",29646,"15_to_19_min",7,10,3
"239","Madera, CA Urbanized Area (2010)",84600,30162,882,5237,6244,3368,2677,961,3329,223,803,3327,2628,483,"52984",15082,"15_to_19_min",7,10,2
"263","Mount Vernon, WA Urbanized Area (2010)",68550,28723,1638,4876,4429,3813,4509,438,2281,867,701,2243,2047,881,"60490",14362,"15_to_19_min",7,10,3
"282","Odessa, TX Urbanized Area (2010)",141261,60608,1516,10327,12384,12718,7248,2469,5867,393,738,1164,3278,2506,"64864",30304,"15_to_19_min",7,10,4
"347","San Jose, CA Urbanized Area (2010)",1788846,826663,6429,45852,87284,120715,140026,60503,151163,23865,40114,73041,55832,21839,"79039",413332,"25_to_29_min",9,9,3
"16","Anderson, IN Urbanized Area (2010)",85800,35458,875,4143,6521,6156,2752,867,3906,819,1751,4447,3090,131,"02386",17730,"20_to_24_min",8,9,0
"129","Flint, MI Urbanized Area (2010)",346311,129857,2719,16610,18981,24276,19901,6725,11890,2028,3228,12183,7888,3428,"29872",64929,"20_to_24_min",8,9,3
"141","Gainesville, GA Urbanized Area (2010)",142202,65470,1420,4015,9653,12796,13113,3591,9070,1300,1062,3395,4148,1907,"32194",32736,"20_to_24_min",8,9,3
"279","North Port--Port Charlotte, FL Urbanized Area (2010)",193362,63220,713,6464,6904,10943,7487,2935,13620,1129,2074,4974,3408,2569,"63838",31610,"20_to_24_min",8,9,4
"390","Thousand Oaks, CA Urbanized Area (2010)",221774,98255,1954,9704,16782,19673,12757,5421,10072,1356,3901,7309,5833,3493,"87490",49128,"20_to_24_min",8,9,4
"171","Houma, LA Urbanized Area (2010)",150101,59875,3761,7958,9937,12129,5889,3299,5297,950,1407,3907,3201,2140,"40375",29938,"15_to_19_min",7,9,4
"193","Kankakee, IL Urbanized Area (2010)",79883,34696,906,5053,8438,5821,4069,731,2201,662,794,2927,2029,1065,"43885",17348,"15_to_19_min",7,9,3
"207","Lake Jackson--Angleton, TX Urbanized Area (2010)",79757,36424,1250,6232,9205,5874,4166,1935,2088,509,244,1672,2602,647,"46801",18212,"15_to_19_min",7,9,2
"309","Portsmouth, NH--ME Urbanized Area (2010)",90690,48396,2312,6607,7910,8288,6250,2591,4411,1155,1423,2962,2384,2103,"71506",24198,"15_to_19_min",7,9,4
"349","San Marcos, TX Urbanized Area (2010)",71643,35566,1535,3279,8322,6208,3614,1037,4053,1211,907,2240,2327,833,"79201",17784,"15_to_19_min",7,9,2
"397","Turlock, CA Urbanized Area (2010)",105948,42480,1637,7809,6827,7306,4993,2537,4583,854,1053,1208,1059,2614,"89083",21240,"15_to_19_min",7,9,6
"100","DeKalb, IL Urbanized Area (2010)",66819,33070,2000,8654,7432,4315,1989,441,883,844,387,2998,1659,1468,"22960",16536,"10_to_14_min",6,9,4
"199","Kissimmee, FL Urbanized Area (2010)",361878,162938,1266,5160,11889,20738,23806,15638,34621,10335,9464,16631,8833,4557,"45451",81470,"30_to_34_min",10,8,3
"62","Cape Coral, FL Urbanized Area (2010)",614941,242832,4651,18890,26515,32277,37877,18180,44276,6535,11077,23143,13630,5781,"13510",121416,"25_to_29_min",9,8,2
"91","Dallas--Fort Worth--Arlington, TX Urbanized Area (2010)",5690531,2670959,45028,177393,298910,373763,406486,182862,472586,96257,129314,263170,171541,53649,"22042",1335480,"25_to_29_min",9,8,2
"102","Denton--Lewisville, TX Urbanized Area (2010)",415255,203012,3434,18240,28465,29022,22073,12471,29864,7903,10295,24293,13838,3114,"23500",101506,"25_to_29_min",9,8,2
"132","Florida--Imbery--Barceloneta, PR Urbanized Area (2010)",71931,18726,95,1229,2865,2791,4425,1504,2562,0,506,1314,755,680,"30115",9364,"20_to_24_min",8,8,4
"256","Mission Viejo--Lake Forest--San Clemente, CA Urbanized Area (2010)",608874,282821,4694,22429,34476,39649,40250,21793,49741,9773,15679,22142,15414,6781,"57709",141411,"20_to_24_min",8,8,2
