"","location_name","total_population","total_commuters","less_than_5_min","5_to_9_min","10_to_14_min","15_to_19_min","20_to_24_min","25_to_29_min","30_to_34_min","35_to_39_min","40_to_44_min","45_to_59_min","60_to_89_min","90_or_more_min","state","puma","median_commuter_number","median_commute_bins","median_commute_bin_number","percent_more_than_hour","percent_more_than_90"
"12","Monroe, Randolph, Washington, Jefferson & Marion Counties PUMA; Illinois",157443,67993,5112,9722,8442,9895,9240,4405,7168,2697,2840,4249,3219,1004,"17","01001",33997,"20_to_24_min",8,6,1
"13","St. Clair County (Central & Northeast) PUMA, Illinois",147141,69962,1302,8255,9384,12193,8523,5268,8350,2824,2401,7302,3036,1124,"17","01104",34982,"20_to_24_min",8,6,2
"32","Kane County (Southeast)--Aurora Township PUMA, Illinois",148912,68194,754,5921,8334,14718,9744,6320,9237,2299,3028,3636,2659,1544,"17","03005",34098,"20_to_24_min",8,6,2
"5","Adams, Pike, Brown, Schuyler & Mason Counties PUMA; Illinois",110884,45850,2698,9807,10029,6738,4062,1757,3879,982,1390,1772,1909,827,"17","00300",22926,"15_to_19_min",7,6,2
"30","Winnebago County (Southeast & West)--Rockford City PUMA, Illinois",197379,83585,1874,9534,17384,17554,14030,4257,6971,983,2031,3782,2690,2495,"17","02801",41793,"15_to_19_min",7,6,3
"15","Madison County (East) PUMA, Illinois",121887,55541,1611,5649,7452,6107,7256,5075,7243,2644,3386,6413,2461,244,"17","01204",27771,"20_to_24_min",8,5,0
"16","Madison County (West)--Granite City, Alton, Wood River Cities & Godfrey Village PUMA; Illinois",143872,62295,2449,7061,9653,8808,9212,3567,8393,1666,3258,4846,2566,816,"17","01205",31148,"20_to_24_min",8,5,1
"19","Menard, Logan, De Witt, Piatt, Moultrie, Shelby & Christian Counties PUMA; Illinois",141503,60897,4169,9744,8381,5530,6377,3423,9074,2907,3978,4410,2287,617,"17","01602",30449,"20_to_24_min",8,5,1
"2","Jo Daviess, Carroll, Whiteside & Lee Counties PUMA; Illinois",127096,56325,4624,9998,10533,7343,6109,3123,5466,1298,1992,3168,1765,906,"17","00104",28163,"15_to_19_min",7,5,2
"4","Henry, Mercer, Henderson, Warren, Hancock, McDonough & Fulton Counties PUMA; Illinois",173826,74063,6676,13951,9839,7049,9877,4637,8006,2128,2687,5185,2904,1124,"17","00202",37032,"15_to_19_min",7,5,2
