"","location_name","total_population","total_commuters","less_than_5_min","5_to_9_min","10_to_14_min","15_to_19_min","20_to_24_min","25_to_29_min","30_to_34_min","35_to_39_min","40_to_44_min","45_to_59_min","60_to_89_min","90_or_more_min","state","puma","median_commuter_number","median_commute_bins","median_commute_bin_number","percent_more_than_hour","percent_more_than_90"
"161","Sacramento County (North Central)--North Highlands, Foothill Farms & McClellan Park PUMA; California",137671,52006,777,2907,3905,9330,11304,4068,9361,2060,1852,2724,1620,2098,"06","06704",26004,"20_to_24_min",8,7,4
"165","Sacramento County--Sacramento City (Southeast/Fruitridge, Avondale & Depot Park) PUMA; California",134483,45468,321,3992,6555,8405,9184,3040,5981,1170,1038,2631,1728,1423,"06","06708",22734,"20_to_24_min",8,7,3
"166","Sacramento County--Sacramento City (Southwest/Pocket, Meadowview & North Laguna) PUMA; California",147813,62493,299,3949,5150,10860,12025,5412,12173,874,2637,4615,2958,1541,"06","06709",31247,"20_to_24_min",8,7,2
"169","Sacramento County (Northeast)--Folsom City, Orangevale & Fair Oaks (East) PUMA; California",114459,46327,704,4273,6607,6853,7356,4044,5764,1809,2034,3845,2115,923,"06","06712",23164,"20_to_24_min",8,7,2
"236","Santa Clara County (Central)--San Jose (West Central) & Campbell Cities PUMA, California",143101,70452,536,5287,5235,10979,13631,4705,14856,1805,2890,5849,2361,2318,"06","08508",35226,"20_to_24_min",8,7,3
"15","Colusa, Glenn, Tehama & Trinity Counties PUMA; California",125986,45254,3844,6572,7429,7767,2880,2544,4753,1197,1831,3491,1012,1934,"06","01100",22628,"15_to_19_min",7,7,4
"160","Sacramento County (North Central)--Arden-Arcade, Carmichael & Fair Oaks (West) PUMA; California",114911,48058,267,3353,6909,6247,8990,3600,9784,2601,1757,1761,1812,977,"06","06703",24030,"20_to_24_min",8,6,2
"225","San Mateo County (Southeast)--Menlo Park, East Palo Alto Cities & Atherton Town PUMA; California",121842,53195,962,2921,6298,9349,8913,4508,9689,1717,2798,2637,2325,1078,"06","08106",26598,"20_to_24_min",8,6,2
"229","Santa Clara County (Northwest)--Mountain View, Palo Alto & Los Altos Cities PUMA; California",206615,91583,878,7467,15652,16985,17758,7405,11459,2398,3054,3393,3661,1473,"06","08501",45792,"20_to_24_min",8,6,2
"230","Santa Clara County (Northwest)--Sunnyvale & San Jose (North) Cities PUMA, California",159461,78485,298,4111,11422,13191,17719,6886,10766,2898,2892,3961,3397,944,"06","08502",39243,"20_to_24_min",8,6,1
"266","Yolo County--Davis, Woodland & West Sacramento Cities PUMA; California",215802,87190,1550,11420,16183,13654,11181,5185,12343,2825,2637,4610,3174,2428,"06","11300",43596,"20_to_24_min",8,6,3
"25","Del Norte, Lassen, Modoc, Plumas & Siskiyou Counties PUMA; California",129379,39005,3845,6861,8651,5927,2925,1251,3327,479,927,2448,1505,859,"06","01500",19503,"15_to_19_min",7,6,2
"245","Shasta County--Redding City PUMA, California",179631,67051,1761,9822,17071,15582,8907,3006,4559,471,470,1528,1755,2119,"06","08900",33526,"15_to_19_min",7,6,3
"118","Monterey County (Northeast)--Salinas City PUMA, California",170506,75952,516,3401,7666,19459,18850,6496,8266,1485,2422,3918,2014,1459,"06","05302",37976,"20_to_24_min",8,5,2
"162","Sacramento County (Northwest)--Sacramento City (Northwest/Natomas) PUMA, California",116455,52548,480,3045,7167,8487,9829,3360,10710,1073,2758,3069,1015,1555,"06","06705",26274,"20_to_24_min",8,5,3
"231","Santa Clara County (Northwest)--San Jose (Northwest) & Santa Clara Cities PUMA, California",150294,68146,891,5324,9732,13055,12379,4441,10605,1948,2110,4159,2631,871,"06","08503",34074,"20_to_24_min",8,5,1
"34","Humboldt County PUMA, California",136646,56256,3078,13350,11333,8922,7566,2312,3954,435,901,1724,1832,849,"06","02300",28128,"15_to_19_min",7,5,2
"41","Kings County--Hanford City PUMA, California",149785,54854,2413,9282,10745,8882,5263,2803,6585,723,2726,2680,1647,1105,"06","03100",27428,"15_to_19_min",7,5,2
"117","Monterey County (North Central)--Seaside, Monterey, Marina & Pacific Grove Cities PUMA; California",181193,77774,1839,9371,12091,16922,14715,4184,7625,2089,1923,3023,1822,2170,"06","05301",38888,"15_to_19_min",7,5,3
"164","Sacramento County (West)--Sacramento City (Central/Downtown & Midtown) PUMA, California",119513,57099,1577,5027,12915,10767,9317,3643,7189,985,959,1717,1451,1552,"06","06707",28550,"15_to_19_min",7,5,3
"13","Butte County (Northwest)--Chico City PUMA, California",116903,50433,3283,9080,12795,10810,5000,927,4685,456,468,809,1268,852,"06","00701",25217,"15_to_19_min",7,4,2
"257","Tulare County (Northwest)--Visalia City PUMA, California",142873,53410,731,6058,14084,8745,9539,2098,4875,1004,1016,2917,1751,592,"06","10701",26706,"15_to_19_min",7,4,1
"258","Tulare County (West Central)--Tulare & Porterville Cities PUMA, California",153765,54326,2277,8478,14096,7934,6779,2068,4542,1190,1484,3565,807,1106,"06","10702",27164,"15_to_19_min",7,4,2
